r2qk1nr/2pppp1p/np3b2/6p1/1P1PP3/5PP1/P1P4P/R1BQK1NR w KQkq * 0 10;1
r2qk1nr/2pppp1p/np3b2/6p1/1P1PP3/2P2PP1/P6P/R1BQK1NR b KQkq * 0 10;1
r2qk1nr/2pppp2/np3b2/6pp/1P1PP3/2P2PP1/P6P/R1BQK1NR w KQkq * 0 11;1
r2qk1nr/2pppp2/np3b2/6pp/1P1PP3/2P1BPP1/P6P/R2QK1NR b KQkq * 1 11;1
2rqk1nr/2pppp2/np3b2/6pp/1P1PP3/2P1BPP1/P6P/R2QK1NR w KQk * 2 12;1
2rqk1nr/2pppp2/np3b2/6pp/1P1PP3/2PQBPP1/P6P/R3K1NR b KQk * 3 12;1
r2qk1nr/2pppp2/np3b2/6pp/1P1PP3/2PQBPP1/P6P/R3K1NR w KQk * 4 13;1
r2qk1nr/2pppp2/np6/4P1pp/1P6/2PQBPP1/P6P/R3K1NR b KQk * 0 14;1
r2qk1nr/2ppp3/np3p2/4P1pp/1P6/2PQBPP1/P6P/R3K1NR w KQk * 0 15;1
r2qk1nr/2ppp3/np3p2/4P2p/1P5p/2PQBPP1/P7/R3K1NR w KQk * 0 16;1
r2q1knr/2pp4/np3pQ1/7p/1P5R/2P1BPP1/P7/R3K1N1 b Q * 0 18;1
r3qknr/2pp4/np3pQ1/7p/1P5R/2P1BPP1/P7/R3K1N1 w Q * 1 19;1
r3qknr/2pp4/np3p2/7p/1P5R/2PQBPP1/P7/R3K1N1 b Q * 2 19;1
r4knr/2pp4/np3p2/4q2p/1P5R/2PQBPP1/P7/R3K1N1 w Q * 3 20;1
r4knr/2pp4/np3p2/4q2p/1P5R/2PQBPP1/P4K2/R5N1 b - * 4 20;1
r4k1r/2ppn3/np3p2/4q2p/1P5R/2PQBPP1/P4K2/R5N1 w - * 5 21;1
r4k1r/2ppn3/np3p2/4q2p/1P1B3R/2PQ1PP1/P4K2/R5N1 b - * 6 21;1
r4k1r/2ppn3/np3p2/3q3p/1P1B3R/2PQ1PP1/P4K2/R5N1 w - * 7 22;1
r4k1r/2ppn3/np3p2/3q3p/1P1B1R2/2PQ1PP1/P4K2/R5N1 b - * 8 22;1
r4k2/2ppn3/np3p1r/3q3p/1P1B1R2/2PQ1PP1/P4K2/R5N1 w - * 9 23;1
